frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
302.53,-2.15,2.69,-2.15,2.69,-2.68,-2.76,-2.79,-4.83,-4.83,-4.84
305.55,-2.10,2.71,-2.10,2.72,-2.70,-2.79,-2.79,-4.80,-4.80,-4.81
308.61,-2.05,2.74,-2.05,2.74,-2.72,-2.82,-2.78,-4.78,-4.78,-4.79
311.69,-2.01,2.75,-2.01,2.75,-2.74,-2.85,-2.78,-4.75,-4.75,-4.76
314.81,-1.97,2.76,-1.97,2.76,-2.76,-2.88,-2.78,-4.73,-4.73,-4.73
317.96,-1.94,2.77,-1.94,2.77,-2.78,-2.91,-2.78,-4.72,-4.72,-4.71
321.14,-1.91,2.78,-1.91,2.78,-2.79,-2.94,-2.78,-4.70,-4.70,-4.69
324.35,-1.87,2.80,-1.87,2.80,-2.81,-2.97,-2.78,-4.68,-4.68,-4.67
327.59,-1.83,2.82,-1.83,2.82,-2.83,-2.99,-2.78,-4.66,-4.66,-4.65
330.87,-1.79,2.85,-1.79,2.84,-2.85,-3.02,-2.79,-4.63,-4.63,-4.63
334.18,-1.75,2.87,-1.74,2.87,-2.86,-3.05,-2.80,-4.61,-4.61,-4.61
337.52,-1.70,2.89,-1.70,2.89,-2.88,-3.08,-2.81,-4.58,-4.59,-4.59
340.90,-1.66,2.91,-1.66,2.91,-2.90,-3.11,-2.82,-4.57,-4.57,-4.57
344.30,-1.63,2.92,-1.63,2.92,-2.92,-3.13,-2.84,-4.55,-4.55,-4.55
347.75,-1.59,2.94,-1.60,2.94,-2.94,-3.16,-2.86,-4.53,-4.53,-4.53
351.23,-1.56,2.95,-1.56,2.95,-2.95,-3.19,-2.88,-4.52,-4.52,-4.51
354.74,-1.53,2.96,-1.53,2.96,-2.97,-3.21,-2.90,-4.50,-4.50,-4.49
358.28,-1.50,2.98,-1.50,2.98,-2.98,-3.24,-2.92,-4.49,-4.48,-4.48
361.87,-1.47,2.99,-1.47,2.99,-3.00,-3.27,-2.95,-4.47,-4.47,-4.46
365.49,-1.43,3.01,-1.44,3.01,-3.01,-3.29,-2.98,-4.44,-4.45,-4.44
369.14,-1.41,3.02,-1.41,3.02,-3.02,-3.32,-3.01,-4.43,-4.43,-4.43
372.83,-1.39,3.03,-1.38,3.03,-3.02,-3.35,-3.04,-4.41,-4.41,-4.41
376.56,-1.36,3.04,-1.36,3.04,-3.02,-3.37,-3.08,-4.39,-4.39,-4.40
380.33,-1.35,3.03,-1.35,3.03,-3.02,-3.40,-3.11,-4.37,-4.37,-4.38
384.13,-1.35,3.02,-1.35,3.02,-3.01,-3.42,-3.15,-4.36,-4.36,-4.37
387.97,-1.36,3.00,-1.36,3.00,-3.00,-3.45,-3.19,-4.36,-4.36,-4.36
391.85,-1.37,2.98,-1.37,2.98,-2.99,-3.47,-3.24,-4.36,-4.36,-4.35
395.77,-1.37,2.96,-1.37,2.97,-2.98,-3.50,-3.28,-4.35,-4.35,-4.33
399.73,-1.36,2.96,-1.36,2.97,-2.98,-3.52,-3.33,-4.34,-4.34,-4.32
403.72,-1.34,2.98,-1.34,2.98,-2.99,-3.54,-3.37,-4.32,-4.32,-4.31
407.76,-1.31,3.00,-1.31,3.00,-3.00,-3.57,-3.42,-4.30,-4.30,-4.30
411.84,-1.28,3.02,-1.28,3.02,-3.02,-3.59,-3.47,-4.29,-4.29,-4.29
415.96,-1.25,3.04,-1.24,3.04,-3.04,-3.61,-3.52,-4.28,-4.28,-4.28
420.12,-1.21,3.06,-1.21,3.07,-3.06,-3.63,-3.57,-4.28,-4.27,-4.27
424.32,-1.17,3.10,-1.17,3.09,-3.09,-3.66,-3.62,-4.26,-4.26,-4.26
428.56,-1.13,3.12,-1.13,3.12,-3.11,-3.68,-3.67,-4.24,-4.24,-4.25
432.85,-1.10,3.14,-1.10,3.15,-3.13,-3.70,-3.72,-4.23,-4.23,-4.24
437.18,-1.07,3.17,-1.07,3.16,-3.15,-3.72,-3.77,-4.22,-4.22,-4.23
441.55,-1.04,3.18,-1.04,3.18,-3.17,-3.74,-3.82,-4.21,-4.21,-4.21
445.96,-1.01,3.19,-1.01,3.19,-3.20,-3.76,-3.86,-4.21,-4.21,-4.20
450.42,-0.98,3.22,-0.98,3.21,-3.22,-3.78,-3.90,-4.20,-4.20,-4.19
454.93,-0.94,3.24,-0.94,3.24,-3.26,-3.80,-3.95,-4.19,-4.20,-4.17
459.48,-0.89,3.27,-0.89,3.28,-3.30,-3.81,-3.99,-4.19,-4.18,-4.16
464.07,-0.83,3.32,-0.83,3.32,-3.34,-3.83,-4.02,-4.17,-4.16,-4.15
468.71,-0.75,3.38,-0.76,3.38,-3.38,-3.85,-4.05,-4.13,-4.14,-4.13
473.40,-0.68,3.44,-0.68,3.44,-3.42,-3.87,-4.08,-4.11,-4.10,-4.12
478.13,-0.61,3.49,-0.62,3.49,-3.46,-3.88,-4.11,-4.08,-4.08,-4.10
482.91,-0.56,3.54,-0.57,3.52,-3.50,-3.90,-4.13,-4.05,-4.07,-4.09
487.74,-0.54,3.53,-0.53,3.54,-3.53,-3.91,-4.15,-4.07,-4.06,-4.07
492.62,-0.52,3.54,-0.51,3.55,-3.55,-3.93,-4.16,-4.07,-4.06,-4.05
497.55,-0.47,3.58,-0.48,3.56,-3.58,-3.94,-4.17,-4.05,-4.06,-4.04
502.52,-0.44,3.58,-0.44,3.58,-3.60,-3.95,-4.17,-4.05,-4.05,-4.02
507.55,-0.41,3.60,-0.40,3.61,-3.63,-3.97,-4.17,-4.04,-4.03,-4.01
512.62,-0.34,3.65,-0.34,3.65,-3.66,-3.98,-4.16,-4.00,-4.00,-3.99
517.75,-0.27,3.70,-0.29,3.69,-3.69,-3.99,-4.15,-3.96,-3.97,-3.97
522.93,-0.23,3.73,-0.23,3.73,-3.72,-4.00,-4.14,-3.94,-3.94,-3.95
528.16,-0.19,3.75,-0.18,3.76,-3.75,-4.01,-4.12,-3.94,-3.93,-3.94
533.44,-0.13,3.79,-0.14,3.79,-3.78,-4.02,-4.09,-3.91,-3.92,-3.92
538.77,-0.10,3.80,-0.10,3.81,-3.81,-4.03,-4.07,-3.91,-3.91,-3.90
544.16,-0.06,3.82,-0.06,3.82,-3.83,-4.04,-4.04,-3.89,-3.90,-3.88
549.60,-0.03,3.83,-0.02,3.84,-3.85,-4.04,-4.01,-3.88,-3.87,-3.86
555.10,0.01,3.86,0.02,3.87,-3.86,-4.05,-3.97,-3.85,-3.84,-3.85
560.65,0.06,3.90,0.05,3.88,-3.86,-4.06,-3.93,-3.80,-3.81,-3.83
566.25,0.08,3.89,0.06,3.88,-3.86,-4.06,-3.89,-3.78,-3.80,-3.81
571.92,0.05,3.86,0.06,3.86,-3.85,-4.07,-3.85,-3.80,-3.80,-3.80
577.64,0.03,3.82,0.04,3.83,-3.85,-4.07,-3.81,-3.81,-3.80,-3.79
583.41,0.04,3.81,0.04,3.82,-3.84,-4.07,-3.77,-3.80,-3.80,-3.77
589.25,0.06,3.82,0.07,3.83,-3.83,-4.07,-3.73,-3.77,-3.77,-3.76
595.14,0.09,3.83,0.09,3.83,-3.83,-4.07,-3.69,-3.75,-3.75,-3.74
601.09,0.13,3.86,0.10,3.83,-3.84,-4.07,-3.64,-3.71,-3.74,-3.73
607.10,0.10,3.81,0.12,3.83,-3.85,-4.07,-3.60,-3.76,-3.73,-3.71
613.17,0.14,3.83,0.17,3.86,-3.87,-4.07,-3.56,-3.73,-3.70,-3.69
619.30,0.23,3.91,0.22,3.90,-3.89,-4.07,-3.52,-3.66,-3.67,-3.67
625.50,0.33,3.98,0.28,3.94,-3.91,-4.07,-3.48,-3.58,-3.63,-3.65
631.75,0.29,3.93,0.31,3.95,-3.93,-4.06,-3.44,-3.64,-3.62,-3.64
638.07,0.31,3.93,0.32,3.95,-3.94,-4.06,-3.41,-3.63,-3.62,-3.62
644.45,0.34,3.95,0.34,3.95,-3.97,-4.05,-3.38,-3.63,-3.63,-3.61
650.89,0.39,3.98,0.38,3.98,-3.99,-4.04,-3.34,-3.61,-3.61,-3.59
657.40,0.43,4.01,0.42,4.00,-4.02,-4.04,-3.31,-3.59,-3.60,-3.58
663.98,0.44,4.00,0.46,4.02,-4.04,-4.03,-3.29,-3.60,-3.58,-3.56
670.62,0.50,4.05,0.50,4.05,-4.06,-4.02,-3.26,-3.56,-3.56,-3.55
677.32,0.55,4.10,0.55,4.09,-4.09,-4.01,-3.24,-3.53,-3.54,-3.54
684.10,0.60,4.13,0.60,4.13,-4.10,-3.99,-3.22,-3.51,-3.50,-3.53
690.94,0.63,4.14,0.62,4.13,-4.11,-3.98,-3.20,-3.48,-3.49,-3.51
697.85,0.62,4.13,0.60,4.11,-4.09,-3.97,-3.19,-3.47,-3.49,-3.50
704.83,0.55,4.05,0.59,4.08,-4.06,-3.95,-3.17,-3.51,-3.47,-3.49
711.87,0.56,4.04,0.58,4.06,-4.02,-3.93,-3.17,-3.46,-3.44,-3.48
718.99,0.57,4.05,0.53,4.01,-3.98,-3.92,-3.16,-3.40,-3.44,-3.47
726.18,0.52,3.98,0.47,3.93,-3.94,-3.90,-3.15,-3.42,-3.47,-3.46
733.44,0.35,3.81,0.41,3.86,-3.91,-3.88,-3.15,-3.56,-3.50,-3.45
740.78,0.36,3.79,0.39,3.83,-3.90,-3.86,-3.15,-3.55,-3.51,-3.43
748.19,0.47,3.89,0.42,3.85,-3.91,-3.84,-3.15,-3.45,-3.49,-3.42
755.67,0.51,3.94,0.50,3.92,-3.94,-3.81,-3.16,-3.43,-3.44,-3.42
763.23,0.56,3.97,0.58,3.99,-3.98,-3.79,-3.16,-3.42,-3.40,-3.41
770.86,0.64,4.04,0.65,4.05,-4.02,-3.76,-3.17,-3.38,-3.38,-3.40
778.57,0.74,4.13,0.72,4.12,-4.07,-3.74,-3.18,-3.33,-3.35,-3.39
786.35,0.78,4.17,0.77,4.16,-4.11,-3.71,-3.20,-3.33,-3.34,-3.38
794.22,0.81,4.19,0.80,4.18,-4.15,-3.68,-3.21,-3.34,-3.35,-3.38
802.16,0.80,4.17,0.82,4.19,-4.20,-3.65,-3.23,-3.40,-3.38,-3.37
810.18,0.84,4.21,0.83,4.20,-4.24,-3.62,-3.24,-3.40,-3.41,-3.36
818.28,0.87,4.23,0.85,4.21,-4.29,-3.59,-3.26,-3.41,-3.44,-3.36
826.46,0.88,4.23,0.90,4.26,-4.33,-3.55,-3.28,-3.45,-3.43,-3.35
834.73,0.95,4.30,0.99,4.34,-4.36,-3.52,-3.30,-3.41,-3.37,-3.35
843.08,1.11,4.45,1.09,4.43,-4.39,-3.48,-3.31,-3.28,-3.30,-3.34
851.51,1.19,4.53,1.13,4.47,-4.39,-3.44,-3.33,-3.20,-3.26,-3.34
860.02,1.12,4.46,1.12,4.46,-4.38,-3.41,-3.35,-3.26,-3.26,-3.33
868.62,0.99,4.32,1.06,4.39,-4.35,-3.37,-3.36,-3.36,-3.29,-3.33
877.31,1.01,4.33,0.96,4.28,-4.29,-3.32,-3.38,-3.28,-3.33,-3.32
886.08,0.89,4.20,0.87,4.18,-4.22,-3.28,-3.39,-3.33,-3.35,-3.31
894.94,0.75,4.06,0.78,4.09,-4.13,-3.24,-3.40,-3.38,-3.34,-3.30
903.89,0.67,3.98,0.67,3.97,-4.03,-3.19,-3.41,-3.36,-3.36,-3.30
912.93,0.62,3.91,0.61,3.90,-3.93,-3.14,-3.41,-3.31,-3.32,-3.29
922.06,0.53,3.81,0.55,3.83,-3.82,-3.09,-3.41,-3.28,-3.27,-3.28
931.28,0.50,3.78,0.49,3.77,-3.70,-3.04,-3.41,-3.21,-3.21,-3.28
940.59,0.40,3.67,0.39,3.67,-3.60,-2.99,-3.40,-3.20,-3.20,-3.27
950.00,0.31,3.57,0.27,3.53,-3.51,-2.94,-3.39,-3.20,-3.24,-3.26
959.50,0.09,3.34,0.13,3.38,-3.43,-2.89,-3.37,-3.34,-3.31,-3.25
969.09,-0.01,3.22,0.01,3.25,-3.38,-2.83,-3.35,-3.39,-3.37,-3.23
978.78,-0.03,3.19,-0.05,3.17,-3.32,-2.77,-3.32,-3.35,-3.37,-3.22
988.57,-0.06,3.15,-0.03,3.18,-3.23,-2.71,-3.29,-3.30,-3.26,-3.21
998.46,-0.01,3.19,-0.00,3.19,-3.11,-2.65,-3.24,-3.12,-3.12,-3.19
1008.44,0.04,3.21,-0.01,3.17,-2.97,-2.59,-3.20,-2.93,-2.97,-3.17
1018.53,-0.12,3.04,-0.11,3.04,-2.80,-2.53,-3.14,-2.91,-2.91,-3.15
1028.71,-0.31,2.82,-0.33,2.81,-2.64,-2.46,-3.09,-2.94,-2.96,-3.13
1039.00,-0.66,2.45,-0.68,2.43,-2.48,-2.40,-3.02,-3.15,-3.16,-3.11
1049.39,-0.96,2.14,-1.01,2.08,-2.33,-2.33,-2.95,-3.29,-3.34,-3.09
1059.88,-1.35,1.73,-1.19,1.88,-2.18,-2.26,-2.87,-3.53,-3.37,-3.07
1070.48,-1.22,1.82,-1.17,1.87,-2.05,-2.19,-2.79,-3.27,-3.22,-3.04
1081.19,-0.95,2.07,-1.04,1.97,-1.95,-2.12,-2.70,-2.89,-2.99,-3.01
1092.00,-0.87,2.11,-0.91,2.07,-1.87,-2.04,-2.61,-2.74,-2.78,-2.98
1102.92,-0.94,2.01,-0.96,1.99,-1.80,-1.97,-2.51,-2.74,-2.76,-2.95
1113.95,-1.10,1.82,-1.09,1.83,-1.74,-1.89,-2.41,-2.84,-2.84,-2.92
1125.09,-1.28,1.61,-1.18,1.70,-1.68,-1.81,-2.31,-2.96,-2.87,-2.88
1136.34,-1.24,1.60,-1.28,1.56,-1.60,-1.73,-2.20,-2.84,-2.88,-2.84
1147.70,-1.27,1.53,-1.35,1.45,-1.52,-1.65,-2.09,-2.79,-2.87,-2.79
1159.18,-1.49,1.26,-1.44,1.32,-1.43,-1.57,-1.97,-2.93,-2.87,-2.75
1170.77,-1.47,1.24,-1.46,1.25,-1.36,-1.48,-1.85,-2.83,-2.82,-2.71
1182.48,-1.49,1.18,-1.39,1.27,-1.30,-1.39,-1.74,-2.78,-2.69,-2.66
1194.30,-1.19,1.42,-1.30,1.31,-1.24,-1.30,-1.61,-2.43,-2.54,-2.61
1206.25,-1.20,1.36,-1.24,1.32,-1.18,-1.21,-1.49,-2.38,-2.42,-2.56
1218.31,-1.35,1.15,-1.24,1.26,-1.13,-1.12,-1.36,-2.48,-2.37,-2.50
1230.49,-1.29,1.16,-1.40,1.06,-1.09,-1.03,-1.24,-2.38,-2.49,-2.45
1242.80,-1.47,0.93,-1.48,0.92,-1.04,-0.93,-1.11,-2.51,-2.51,-2.40
1255.22,-1.65,0.69,-1.50,0.85,-0.97,-0.84,-0.98,-2.62,-2.46,-2.34
1267.78,-1.40,0.88,-1.50,0.78,-0.87,-0.74,-0.85,-2.27,-2.37,-2.28
1280.45,-1.41,0.81,-1.41,0.81,-0.76,-0.64,-0.72,-2.17,-2.17,-2.22
1293.26,-1.41,0.75,-1.36,0.79,-0.64,-0.54,-0.58,-2.05,-2.00,-2.15
1306.19,-1.37,0.72,-1.46,0.63,-0.52,-0.43,-0.45,-1.89,-1.98,-2.09
1319.25,-1.61,0.41,-1.62,0.41,-0.39,-0.33,-0.32,-2.01,-2.01,-2.02
1332.45,-1.83,0.13,-1.77,0.18,-0.23,-0.22,-0.18,-2.06,-2.00,-1.95
1345.77,-1.97,-0.09,-1.92,-0.04,-0.04,-0.11,-0.05,-2.01,-1.96,-1.88
1359.23,-1.92,-0.10,-1.99,-0.18,0.18,-0.00,0.09,-1.74,-1.81,-1.81
1372.82,-2.08,-0.35,-2.05,-0.31,0.38,0.11,0.22,-1.70,-1.66,-1.73
1386.55,-2.13,-0.47,-2.17,-0.51,0.56,0.22,0.36,-1.57,-1.62,-1.66
1400.41,-2.32,-0.73,-2.35,-0.76,0.69,0.33,0.49,-1.63,-1.66,-1.59
1414.42,-2.54,-1.02,-2.47,-0.95,0.81,0.45,0.63,-1.73,-1.66,-1.52
1428.56,-2.55,-1.11,-2.51,-1.06,0.92,0.56,0.77,-1.63,-1.59,-1.44
1442.85,-2.42,-1.05,-2.44,-1.06,1.03,0.68,0.91,-1.39,-1.41,-1.37
1457.28,-2.32,-1.02,-2.33,-1.02,1.15,0.80,1.05,-1.17,-1.18,-1.30
1471.85,-2.29,-1.05,-2.33,-1.09,1.26,0.92,1.18,-1.02,-1.06,-1.23
1486.57,-2.39,-1.23,-2.46,-1.30,1.39,1.04,1.32,-1.00,-1.07,-1.16
1501.43,-2.67,-1.59,-2.60,-1.52,1.53,1.16,1.46,-1.15,-1.07,-1.08
1516.45,-2.80,-1.81,-2.68,-1.69,1.67,1.28,1.60,-1.13,-1.01,-0.99
1531.61,-2.68,-1.76,-2.81,-1.90,1.83,1.40,1.75,-0.85,-0.98,-0.91
1546.93,-2.77,-1.94,-2.87,-2.04,1.99,1.53,1.89,-0.78,-0.88,-0.82
1562.40,-3.14,-2.41,-2.94,-2.20,2.15,1.65,2.03,-0.99,-0.79,-0.73
1578.02,-2.92,-2.28,-2.98,-2.34,2.29,1.77,2.17,-0.63,-0.70,-0.64
1593.80,-2.95,-2.39,-2.96,-2.40,2.40,1.90,2.31,-0.54,-0.55,-0.56
1609.74,-2.85,-2.39,-2.88,-2.42,2.50,2.02,2.45,-0.35,-0.38,-0.46
1625.84,-2.92,-2.56,-2.91,-2.55,2.59,2.15,2.59,-0.33,-0.32,-0.36
1642.10,-2.93,-2.66,-2.93,-2.67,2.68,2.27,2.73,-0.25,-0.25,-0.26
1658.52,-2.98,-2.82,-2.98,-2.82,2.77,2.40,2.87,-0.20,-0.21,-0.15
1675.10,-2.97,-2.92,-2.96,-2.91,2.87,2.52,3.01,-0.10,-0.09,-0.05
1691.85,-2.96,-3.01,-2.89,-2.94,2.97,2.64,3.14,0.01,0.07,0.05
1708.77,-2.78,-2.94,-2.81,-2.97,3.05,2.76,3.28,0.27,0.23,0.16
1725.86,-2.74,-3.01,-2.85,-3.12,3.11,2.88,3.41,0.37,0.26,0.27
1743.12,-2.88,-3.27,-2.89,-3.28,3.17,3.00,3.53,0.29,0.28,0.39
1760.55,-3.08,-3.57,-2.85,-3.35,3.24,3.12,3.66,0.17,0.40,0.50
1778.15,-2.70,-3.31,-2.73,-3.35,3.33,3.23,3.78,0.64,0.60,0.62
1795.94,-2.42,-3.15,-2.58,-3.31,3.44,3.34,3.89,1.02,0.86,0.73
1813.90,-2.54,-3.38,-2.51,-3.36,3.55,3.45,4.00,1.02,1.05,0.85
1832.03,-2.62,-3.58,-2.61,-3.58,3.66,3.56,4.11,1.05,1.05,0.97
1850.36,-2.77,-3.87,-2.76,-3.85,3.77,3.66,4.20,0.99,1.01,1.10
1868.86,-2.80,-4.01,-2.77,-3.98,3.87,3.77,4.30,1.07,1.10,1.22
1887.55,-2.77,-4.10,-2.74,-4.07,3.96,3.86,4.38,1.20,1.23,1.34
1906.42,-2.55,-4.00,-2.63,-4.09,4.05,3.96,4.46,1.51,1.42,1.46
1925.49,-2.57,-4.16,-2.52,-4.10,4.13,4.04,4.52,1.55,1.61,1.59
1944.74,-2.40,-4.11,-2.42,-4.13,4.18,4.13,4.58,1.78,1.76,1.72
1964.19,-2.31,-4.16,-2.33,-4.18,4.19,4.21,4.63,1.88,1.86,1.85
1983.83,-2.25,-4.21,-2.18,-4.15,4.19,4.28,4.67,1.94,2.01,1.97
2003.67,-2.05,-4.15,-2.06,-4.15,4.18,4.35,4.70,2.13,2.12,2.10
2023.71,-1.91,-4.11,-2.00,-4.20,4.17,4.42,4.73,2.26,2.16,2.20
2043.94,-1.92,-4.23,-1.93,-4.24,4.16,4.48,4.74,2.24,2.22,2.31
2064.38,-1.97,-4.39,-1.79,-4.21,4.15,4.53,4.74,2.18,2.36,2.42
2085.03,-1.59,-4.11,-1.61,-4.13,4.16,4.58,4.74,2.57,2.54,2.52
2105.88,-1.30,-3.92,-1.46,-4.08,4.17,4.62,4.73,2.88,2.71,2.63
2126.94,-1.36,-4.08,-1.34,-4.07,4.20,4.66,4.70,2.84,2.85,2.73
2148.20,-1.45,-4.29,-1.32,-4.15,4.21,4.69,4.68,2.75,2.89,2.84
2169.69,-1.26,-4.20,-1.32,-4.26,4.21,4.72,4.64,2.95,2.89,2.94
2191.38,-1.20,-4.23,-1.29,-4.33,4.23,4.74,4.60,3.03,2.93,3.04
2213.30,-1.29,-4.42,-1.22,-4.36,4.25,4.75,4.55,2.96,3.03,3.14
2235.43,-1.18,-4.43,-1.07,-4.31,4.27,4.76,4.50,3.09,3.21,3.25
2257.78,-0.87,-4.21,-0.87,-4.22,4.29,4.77,4.44,3.42,3.41,3.35
2280.36,-0.53,-3.97,-0.73,-4.17,4.29,4.77,4.38,3.75,3.55,3.44
2303.17,-0.71,-4.25,-0.69,-4.22,4.27,4.76,4.32,3.56,3.58,3.54
2326.20,-0.79,-4.43,-0.65,-4.28,4.24,4.75,4.25,3.45,3.60,3.64
2349.46,-0.58,-4.32,-0.54,-4.27,4.21,4.74,4.18,3.63,3.67,3.74
2372.95,-0.26,-4.08,-0.39,-4.21,4.17,4.72,4.11,3.91,3.77,3.82
2396.68,-0.19,-4.09,-0.29,-4.19,4.14,4.70,4.04,3.95,3.85,3.90
2420.65,-0.35,-4.32,-0.16,-4.13,4.12,4.67,3.97,3.77,3.97,3.97
2444.86,-0.09,-4.14,-0.03,-4.08,4.10,4.64,3.90,4.01,4.07,4.05
2469.31,0.31,-3.81,0.11,-4.02,4.07,4.61,3.83,4.38,4.18,4.12
2494.00,0.20,-3.99,0.24,-3.95,4.05,4.57,3.76,4.26,4.30,4.20
2518.94,0.18,-4.09,0.23,-4.04,4.06,4.54,3.69,4.23,4.28,4.27
2544.13,0.23,-4.09,0.19,-4.13,4.08,4.50,3.62,4.31,4.27,4.33
2569.57,0.18,-4.21,0.26,-4.13,4.10,4.46,3.55,4.28,4.36,4.39
2595.27,0.38,-4.08,0.33,-4.13,4.13,4.41,3.49,4.51,4.46,4.46
2621.22,0.40,-4.12,0.38,-4.14,4.15,4.37,3.42,4.55,4.53,4.52
2647.43,0.41,-4.16,0.41,-4.17,4.16,4.33,3.36,4.58,4.57,4.58
2673.90,0.41,-4.23,0.39,-4.24,4.17,4.29,3.30,4.58,4.56,4.64
2700.64,0.40,-4.28,0.50,-4.19,4.16,4.24,3.25,4.56,4.66,4.69
2727.65,0.59,-4.16,0.59,-4.15,4.15,4.20,3.19,4.74,4.75,4.75
2754.93,0.86,-3.94,0.70,-4.10,4.16,4.16,3.14,5.01,4.85,4.80
2782.48,0.66,-4.19,0.77,-4.08,4.16,4.12,3.09,4.82,4.93,4.85
2810.30,0.78,-4.11,0.77,-4.12,4.15,4.08,3.04,4.93,4.92,4.90
2838.40,0.79,-4.15,0.75,-4.19,4.14,4.04,3.00,4.93,4.88,4.94
2866.79,0.75,-4.22,0.79,-4.18,4.13,4.00,2.96,4.89,4.93,4.97
2895.46,0.82,-4.19,0.82,-4.18,4.14,3.97,2.92,4.96,4.96,5.01
2924.41,0.88,-4.16,0.87,-4.16,4.16,3.94,2.88,5.04,5.03,5.04
2953.65,0.97,-4.10,0.97,-4.10,4.17,3.92,2.84,5.13,5.14,5.07
2983.19,1.00,-4.11,1.01,-4.09,4.16,3.89,2.81,5.16,5.17,5.11
3013.02,1.09,-4.04,1.00,-4.14,4.15,3.88,2.78,5.25,5.15,5.14
3043.15,0.94,-4.24,0.99,-4.19,4.13,3.86,2.75,5.07,5.12,5.18
3073.58,0.96,-4.25,1.06,-4.15,4.11,3.85,2.73,5.07,5.17,5.21
3104.32,1.18,-4.07,1.13,-4.12,4.07,3.85,2.71,5.24,5.19,5.25
3135.36,1.35,-3.93,1.26,-4.01,4.01,3.85,2.68,5.36,5.27,5.28
3166.72,1.26,-4.05,1.33,-3.98,3.96,3.85,2.67,5.21,5.28,5.31
3198.38,1.43,-3.89,1.41,-3.91,3.90,3.85,2.65,5.33,5.30,5.32
3230.37,1.42,-3.91,1.54,-3.80,3.84,3.86,2.63,5.26,5.38,5.34
3262.67,1.75,-3.60,1.61,-3.74,3.79,3.86,2.62,5.54,5.40,5.35
3295.30,1.74,-3.63,1.69,-3.67,3.76,3.86,2.61,5.50,5.45,5.37
3328.25,1.50,-3.88,1.70,-3.68,3.74,3.86,2.60,5.24,5.44,5.38
3361.53,1.83,-3.55,1.62,-3.77,3.74,3.84,2.59,5.57,5.35,5.39
3395.15,1.51,-3.87,1.62,-3.76,3.72,3.81,2.59,5.24,5.35,5.39
3429.10,1.62,-3.77,1.65,-3.73,3.71,3.76,2.58,5.32,5.36,5.39
3463.39,1.72,-3.66,1.64,-3.74,3.68,3.69,2.58,5.40,5.33,5.38
3498.03,1.70,-3.67,1.73,-3.65,3.64,3.61,2.57,5.34,5.36,5.38
3533.01,1.80,-3.58,1.80,-3.57,3.57,3.50,2.57,5.37,5.37,5.38
3568.34,1.85,-3.52,1.89,-3.47,3.48,3.38,2.57,5.33,5.37,5.37
3604.02,2.07,-3.27,2.01,-3.34,3.36,3.24,2.57,5.43,5.37,5.34
3640.06,2.10,-3.22,2.12,-3.19,3.22,3.09,2.56,5.32,5.35,5.32
3676.46,2.23,-3.07,2.22,-3.08,3.06,2.93,2.56,5.29,5.28,5.30
3713.22,2.35,-2.92,2.34,-2.94,2.88,2.76,2.56,5.23,5.21,5.27
3750.36,2.44,-2.80,2.53,-2.71,2.68,2.59,2.56,5.12,5.21,5.25
3787.86,2.77,-2.44,2.70,-2.50,2.47,2.41,2.56,5.24,5.17,5.21
3825.74,2.95,-2.22,2.90,-2.27,2.25,2.24,2.55,5.20,5.15,5.17
3864.00,3.02,-2.11,3.13,-2.00,2.03,2.07,2.55,5.05,5.16,5.13
3902.64,3.31,-1.78,3.30,-1.79,1.82,1.91,2.55,5.13,5.12,5.09
3941.66,3.55,-1.51,3.46,-1.60,1.62,1.75,2.54,5.17,5.08,5.06
3981.08,3.57,-1.45,3.60,-1.41,1.44,1.60,2.53,5.01,5.05,5.02
4020.89,3.64,-1.33,3.68,-1.28,1.29,1.46,2.53,4.94,4.98,4.97
4061.10,3.77,-1.14,3.74,-1.17,1.17,1.33,2.52,4.94,4.91,4.91
4101.71,3.81,-1.04,3.78,-1.07,1.08,1.20,2.51,4.89,4.86,4.85
4142.73,3.79,-1.01,3.79,-1.01,1.01,1.10,2.50,4.79,4.80,4.80
4184.15,3.73,-1.01,3.77,-0.96,0.96,1.00,2.49,4.69,4.73,4.74
4226.00,3.75,-0.93,3.74,-0.94,0.93,0.92,2.48,4.68,4.68,4.68
4268.26,3.74,-0.88,3.69,-0.92,0.92,0.86,2.46,4.66,4.61,4.62
4310.94,3.60,-0.93,3.63,-0.90,0.92,0.81,2.45,4.52,4.55,4.54
4354.05,3.52,-0.94,3.54,-0.92,0.92,0.78,2.44,4.44,4.47,4.46
4397.59,3.47,-0.91,3.44,-0.95,0.94,0.77,2.42,4.41,4.38,4.39
4441.56,3.34,-0.97,3.34,-0.97,0.95,0.77,2.41,4.29,4.29,4.31
4485.98,3.23,-1.00,3.25,-0.98,0.97,0.78,2.39,4.20,4.22,4.23
4530.84,3.13,-1.01,3.15,-0.99,0.99,0.80,2.38,4.12,4.14,4.15
4576.15,3.10,-0.95,3.06,-1.00,1.00,0.84,2.37,4.10,4.06,4.06
4621.91,2.95,-1.03,2.97,-1.01,1.01,0.88,2.35,3.96,3.98,3.98
4668.13,2.85,-1.03,2.87,-1.01,1.01,0.93,2.34,3.87,3.88,3.89
4714.81,2.79,-1.00,2.78,-1.02,1.01,0.98,2.33,3.80,3.79,3.80
4761.96,2.69,-1.02,2.70,-1.01,1.01,1.04,2.32,3.70,3.70,3.72
